model_type,split_type,val_rmse,val_mae,val_r2,val_spearman,test_rmse,test_mae,test_r2,test_spearman,test_mean_interval_width,test_ad_in_domain_frac
xgboost,scaffold,0.9866093221540712,0.7366466482616607,0.433478469990921,0.6924917424447541,0.9474336942222411,0.7147749992646454,0.45120373353883636,0.6905281667909997,3.106116752624513,0.9000951474785919
lightgbm,scaffold,0.9546295265988127,0.7254766387343532,0.4696095253429208,0.6983933850009713,0.9340197347490071,0.7108310327720345,0.4666336636630639,0.699646214898073,3.0669530956804607,0.9000951474785919
random_forest,scaffold,0.9336354113695108,0.7033383783929797,0.49268159189098226,0.7175180381530655,0.8890091918636795,0.6662891125519446,0.5168010306107448,0.7325394429945813,3.057233333333328,0.9000951474785919
xgboost,random,0.7840031146573291,0.5846381873085386,0.670124944994361,0.8311608183813045,0.8035223269301399,0.6013487737094868,0.6681174881197278,0.821009294525571,2.4442668151855464,0.9762131303520457
lightgbm,random,0.7958063579828961,0.6074105616108597,0.6601175746200327,0.8200614496182019,0.8172174466524169,0.6187308819373228,0.6567079623341765,0.8188236529170462,2.6700974300917997,0.9762131303520457
random_forest,random,0.7150153304353085,0.5137737582298574,0.7256249564384829,0.8568285022810788,0.7635947034902847,0.5429020727469935,0.7002809925740555,0.8383191398763399,2.3307,0.9762131303520457
